66127765,1100727008,VG25780395,2021-07-30,0
66184542,1100727009,VG25780396,2021-07-30,0
66184469,1100727010,VG25780397,2021-07-30,0
66181990,1100727011,VG25780398,2021-07-30,0
66177683,1100727012,VG25780399,2021-07-30,0
30221304,1100727013,VG25780400,2021-07-30,0
66184544,1100727014,VG25780401,2021-07-30,0
66184554,1100727016,VG25780402,2021-07-30,0
66142487,1100727019,VG25780403,2021-07-30,0
66183712,1100729002,VG25780404,2021-07-30,0
66170528,1100729003,VG25780405,2021-07-30,0
66096859,1100729007,VG25780392,2021-07-30,0
66043668,1100730001,VG25780393,2021-07-30,0
66114663,1100730002,VG25780385,2021-07-30,0
66182213,1100730003,VG25780386,2021-07-30,0
66082593,1100730004,VG25780387,2021-07-30,0
66149377,1100730005,VG25780388,2021-07-30,0
66184502,1100730006,VG25780389,2021-07-30,0
66184608,1100730007,VG25780394,2021-07-30,0
66180428,1100730008,VG25780390,2021-07-30,0
66178561,1100730009,VG25780391,2021-07-30,0
66184531,1100730010,VG25780406,2021-07-30,0
66180415,1100730011,VG25780407,2021-07-30,0
66184613,1100730013,VG25780408,2021-07-30,0
66184611,1100730014,VG25780409,2021-07-30,0
