66092618,1100824001,VG25780703,2021-08-25,0
66077002,1100824003,VG25780704,2021-08-25,0
66183133,1100824004,VG25780705,2021-08-25,0
66171775,1100824005,VG25780706,2021-08-25,0
66129293,1100824006,VG25780691,2021-08-25,0
66131593,1100824007,VG25780692,2021-08-25,0
66164594,1100824008,VG25780693,2021-08-25,0
66154425,1100824009,VG25780694,2021-08-25,0
66179585,1100824010,VG25780695,2021-08-25,0
66184708,1100824011,VG25780696,2021-08-25,0
66129618,1100824012,VG25780697,2021-08-25,0
66184813,1100825001,VG25780707,2021-08-25,0
66184814,1100825003,VG25780708,2021-08-25,0
66184656,1100825004,VG25780698,2021-08-25,0
66137379,1100825005,VG25780699,2021-08-25,0
66173308,1100825006,VG25780700,2021-08-25,0
66173694,1100825007,VG25780701,2021-08-25,0
66184424,1100825008,VG25780702,2021-08-25,0
66174205,¨Å-¤â°Ê,VG25780690,2021-08-25,0
